StockCode,StockName,Category
3508,位速,31
2063,世鎧,10
6180,橘子,32
6150,撼訊,25
8084,巨虹,29
5310,天剛,30
6872,浩宇生醫,22
6741,91APP*-KY,36
4154,樂威科-KY,20
2235,謚源,05
8272,全景軟體,30
4305,世坤,03
3176,基亞,22
4432,銘旺實,04
6104,創惟,24
5356,協益,25
7402,邑錡,26
6148,驊宏資,30
3221,台嘉碩,27
5523,豐謙,14
4721,美琪瑪,21
6670,復盛應用,37
6005,群益證,17
6288,聯嘉,12
6869,雲豹能源,35
1339,昭輝,12
2901,欣欣,18
4571,鈞興-KY,05
1529,樂事綠能,05
6451,訊芯-KY,24
1533,車王電,12
2455,全新,27
3376,新日興,28
1737,臺鹽,02
3018,隆銘綠能,31
1539,巨庭,05
6531,愛普*,24
6931,青松健康,22
6695,芯鼎,24
1443,立益物流,20
1310,台苯,03
0052,富邦科技,00
5521,工信,14
2528,皇普,14
8481,政伸,20
3694,海華,27
1563,巧新,12
6552,易華電,24
5269,祥碩,24
1471,首利,28
1417,嘉裕,04
2903,遠百,18
2301,光寶科,25
2836,高雄銀,17
3135,凌航,24
2534,宏盛,14
3308,聯德,28
9919,康那香,20
2201,裕隆,12
6504,南六,20
2015,豐興,10
1309,台達化,03
6754,匯僑設計,38
6165,浪凡,36
2029,盛餘,10
6753,龍德造船,15
6792,詠業,27
1219,福壽,02
2420,新巨,28
3494,誠研,25
6965,中傑-KY,37
1210,大成,02
1215,卜蜂,02
6214,精誠,30
2514,龍邦,20
3296,勝德,28
1419,新紡,04
8163,達方,25
4142,國光生,22
2233,宇隆,12
2832,台產,17
2539,櫻花建,14
3557,嘉威,38
1423,利華,04
1522,堤維西,12
7736,虎山,12
4943,康控-KY,28
2515,中工,14
1236,宏亞,02
2482,連宇,31
6605,帝寶,12
2509,全坤建,14
3356,奇偶,26
1590,亞德客-KY,05
3003,健和興,28
2401,凌陽,24
3605,宏致,28
2376,技嘉,25
2481,強茂,24
6790,永豐實,09
2501,國建,14
8476,台境*,35
6951,青新-創,35
3711,日月光投控,24
1402,遠東新,04
4572,駐龍,05
6136,富爾特,27
8033,雷虎,20
2022,聚亨,10
2324,仁寶,25
6863,永道-KY,27
2889,國票金,17
2415,錩新,28
2352,佳世達,25
6550,北極星藥業-KY,22
2483,百容,28
2258,鴻華先進-創,12
2906,高林,18
2038,海光,10
1817,凱撒衛,08
6176,瑞儀,26
5484,慧友,26
8374,羅昇,05
1225,福懋油,02
2365,昆盈,25
6835,圓裕,28
2024,志聯,10
1315,達新,03
3311,閎暉,27
3532,台勝科,24
1730,花仙子,21
2849,安泰銀,17
4977,眾達-KY,27
6142,友勁,27
4952,凌通,24
3535,晶彩科,26
2617,台航,15
6183,關貿,30
3005,神基,25
2351,順德,24
1905,華紙,09
5215,科嘉-KY,25
2466,冠西電,26
2881,富邦金,17
6742,澤米,26
4560,強信-KY,05
1709,和益,21
6796,晉弘,22
2905,三商,18
1733,五鼎,22
2516,新建,14
3481,群創,26
6155,鈞寶,28
3062,建漢,27
4976,佳凌,26
4583,台灣精銳,05
8443,阿瘦,18
8016,矽創,24
3058,立德,28
6909,創控,24
8487,愛爾達-創,36
5533,皇鼎,14
6108,競國,28
1587,吉茂,12
2707,晶華,16
9910,豐泰,37
8081,致新,24
2069,運錩,10
1560,中砂,05
5515,建國,14
1308,亞聚,03
2492,華新科,28
5285,界霖,24
6902,GOGOLOOK,36
3044,健鼎,28
2342,茂矽,24
2102,泰豐,11
1473,台南,04
6949,沛爾生醫-創,22
6449,鈺邦,28
2368,金像電,28
1789,神隆,22
2409,友達,26
2616,山隆,23
7631,聚賢研發-創,31
3380,明泰,27
1110,東泥,01
6133,金橋,28
2506,太設,14
2243,宏旭-KY,12
4770,上品,21
2645,長榮航太,15
8926,台汽電,23
4104,佳醫,22
2851,中再保,17
1217,愛之味,02
3013,晟銘電,25
5469,瀚宇博,28
2317,鴻海,31
3592,瑞鼎,24
2107,厚生,11
2462,良得電,28
6757,台灣虎航,15
2059,川湖,28
2349,錸德,26
9958,世紀鋼,10
3030,德律,31
2845,遠東銀,17
9946,三發地產,14
3016,嘉晶,24
6533,晶心科,24
8104,錸寶,26
6442,光聖,27
2211,長榮鋼,10
1611,中電,06
6168,宏齊,26
1513,中興電,05
2606,裕民,15
6592,和潤企業,20
6446,藥華藥,22
